run_accession,sample_accession
ERR3411604,SAMEA4620304
ERR3425221,SAMEA4620561
ERR3425317,SAMEA4620657
ERR3411610,SAMEA4620310
ERR3425224,SAMEA4620564
ERR3425323,SAMEA4620663
ERR3411612,SAMEA4620312
ERR3425225,SAMEA4620565
ERR3425326,SAMEA4620666
ERR3411613,SAMEA4620313
ERR3425227,SAMEA4620567
ERR3425331,SAMEA4620671
ERR3411616,SAMEA4620316
ERR3425230,SAMEA4620570
ERR3425333,SAMEA4620673
ERR3411618,SAMEA4620318
ERR3425234,SAMEA4620574
ERR3425335,SAMEA4620675
ERR3411620,SAMEA4620320
ERR3425236,SAMEA4620576
ERR3425337,SAMEA4620677
ERR3411621,SAMEA4620321
ERR3425239,SAMEA4620579
ERR3425338,SAMEA4620678
ERR3411632,SAMEA4620332
ERR3425244,SAMEA4620584
ERR3425376,SAMEA4620734
ERR3411634,SAMEA4620334
ERR3425250,SAMEA4620590
ERR3425377,SAMEA4620735
ERR3411638,SAMEA4620338
ERR3425251,SAMEA4620591
ERR3425378,SAMEA4620736
ERR3411639,SAMEA4620339
ERR3425313,SAMEA4620653
ERR3425379,SAMEA4620737
ERR3411643,SAMEA4620343
ERR3425318,SAMEA4620658
ERR3425380,SAMEA4620738
ERR3411646,SAMEA4620346
ERR3425320,SAMEA4620660
ERR3425390,SAMEA4620723
ERR3411648,SAMEA4620348
ERR3425321,SAMEA4620661
ERR3425391,SAMEA4620724
ERR3411650,SAMEA4620350
ERR3425324,SAMEA4620664
ERR3425392,SAMEA4620725
ERR3411654,SAMEA4620354
ERR3425327,SAMEA4620667
ERR3425393,SAMEA4620726
ERR3411655,SAMEA4620355
ERR3425334,SAMEA4620674
ERR3425396,SAMEA4620729
ERR3411656,SAMEA4620356
ERR3425385,SAMEA4620718
ERR3425397,SAMEA4620730
ERR3411657,SAMEA4620357
ERR3425386,SAMEA4620719
ERR3425398,SAMEA4620731
ERR3411659,SAMEA4620359
ERR3425394,SAMEA4620727
ERR3425440,SAMEA4620780
