import_uuid	name	sample_accession_number	sample_common_name	sample_donor_id	sample_id	sample_supplier_name	sample_uuid	sequencescape_sample_id
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417491	ERS5382552	Haemophilus influenzae	HINTVAC9417491	5036819	4_66_F6_08B03593	c11eac04-f80a-5d36-96c1-1cfadd9b576b	HINTVAC9417491
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416974	ERS5381766	Haemophilus influenzae	HINTVAC9416974	5036302	9_2_A2_08B06573	39524102-170a-5cd0-97cd-ca8e5008dabf	HINTVAC9416974
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416875	ERS5381613	Haemophilus influenzae	HINTVAC9416875	5036203	10_61_F1_08B07389	a7cfd89c-fefb-52e0-b3da-a75baf57ea24	HINTVAC9416875
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417501	ERS5382566	Haemophilus influenzae	HINTVAC9417501	5036829	4_91_H7_08B03864	5913ffbb-ac52-5559-be5a-dc45d0a5966e	HINTVAC9417501
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417811	ERS5383014	Haemophilus influenzae	HINTVAC9417811	5037139	2A_70_F10_08B02056	39e514bd-13b0-58b9-a71f-a29bcb437b7b	HINTVAC9417811
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414248	ERS5378321	Haemophilus influenzae	HINTVAC9414248	5033576	38_33_C9_09B12797	455c5186-883d-53c2-aa57-722cf6b56331	HINTVAC9414248
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415930	ERS5380396	Haemophilus influenzae	HINTVAC9415930	5035258	20_51_E3_09B01919	3414aca8-922a-5451-8dea-7d8f46cb5ec4	HINTVAC9415930
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415534	ERS5379916	Haemophilus influenzae	HINTVAC9415534	5034862	24_2_A2_09B03681	3a2b4c01-0c48-580b-8f84-8b62f9b800f2	HINTVAC9415534
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414158	ERS5378214	Haemophilus influenzae	HINTVAC9414158	5033486	39_10_A10_09B13351	6922cf8d-22e5-5469-9747-1bb7a0545df8	HINTVAC9414158
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415823	ERS5380279	Haemophilus influenzae	HINTVAC9415823	5035151	21_14_B2_09B02163	de699cd0-f73a-5a3c-80b9-5d721f5c2f46	HINTVAC9415823
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417686	ERS5382833	Haemophilus influenzae	HINTVAC9417686	5037014	1A_7_A7_07B00919	d4ddb4ef-4f28-5764-923f-b9c3f0978608	HINTVAC9417686
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414380	ERS5378476	Haemophilus influenzae	HINTVAC9414380	5033708	36_73_G1_09B11560	35ae3bdf-6448-5c5e-a54b-f9dc42d4de64	HINTVAC9414380
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416278	ERS5380797	Haemophilus influenzae	HINTVAC9416278	5035606	17_11_A11_09B00206	d21f1ecb-c4ac-5ed1-a5dd-3e18542acaa5	HINTVAC9416278
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413933	ERS5377960	Haemophilus influenzae	HINTVAC9413933	5033261	41_89_H5_10B01579	be6bf945-884d-5cdb-b0f3-4dc06a659a5c	HINTVAC9413933
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417522	ERS5382540	Haemophilus influenzae	HINTVAC9417522	5036850	4_58_E10_08B03574	e1828aaf-dc11-541e-8461-4d26bd7ee044	HINTVAC9417522
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416004	ERS5380478	Haemophilus influenzae	HINTVAC9416004	5035332	20_84_G12_09B02067	03384581-1195-5435-afa4-de1a78281fcf	HINTVAC9416004
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414491	ERS5378607	Haemophilus influenzae	HINTVAC9414491	5033819	35_63_F3_09B10911	10e2255b-8147-5322-97c3-245690baa86d	HINTVAC9414491
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416470	ERS5381042	Haemophilus influenzae	HINTVAC9416470	5035798	15_11_A11_08B09958	a02edf12-1853-5259-9d91-5065bee3ae95	HINTVAC9416470
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417340	ERS5382303	Haemophilus influenzae	HINTVAC9417340	5036668	6_83_G11_08B05390	2b5d5fe7-8ea7-5540-aa22-67b0aaaf177c	HINTVAC9417340
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417258	ERS5382158	Haemophilus influenzae	HINTVAC9417258	5036586	6_49_E1_08B05155	24388bda-ddfa-5c32-bb88-3fff45d95fee	HINTVAC9417258
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413452	ERS5377414	Haemophilus influenzae	HINTVAC9413452	5032780	46_77_G5_10B06530	c999f1d9-b913-56c1-887f-95f741abcb52	HINTVAC9413452
